cliente 0;CGH;CWB;2 dias;1 estrelas;R$ 4086
cliente 15;AJU;NAT;1 dias;1 estrelas;R$ 8104
cliente 15;NAT;MCZ;4 dias;1 estrelas;R$ 8104
cliente 15;MCZ;CNF;1 dias;1 estrelas;R$ 8104
cliente 16;REC;FLN;3 dias;1 estrelas;R$ 8295
cliente 16;FLN;MCZ;5 dias;1 estrelas;R$ 8295
cliente 16;MCZ;BEL;1 dias;1 estrelas;R$ 8295
cliente 16;BEL;CNF;3 dias;1 estrelas;R$ 8295
cliente 17;GIG;CGH;2 dias;5 estrelas;R$ 8189
cliente 18;CWB;GRU;3 dias;2 estrelas;R$ 5793
cliente 18;GRU;BEL;5 dias;2 estrelas;R$ 5793
cliente 19;SDU;AJU;3 dias;2 estrelas;R$ 2789
cliente 20;CNF;BEL;3 dias;4 estrelas;R$ 4365
cliente 20;BEL;SDU;2 dias;4 estrelas;R$ 4365
cliente 20;SDU;GRU;4 dias;4 estrelas;R$ 4365
cliente 20;GRU;BSB;2 dias;4 estrelas;R$ 4365
cliente 21;MCZ;CGH;2 dias;3 estrelas;R$ 6404
cliente 22;POA;IGU;4 dias;4 estrelas;R$ 4234
cliente 22;IGU;CGB;1 dias;4 estrelas;R$ 4234
cliente 22;CGB;CWB;3 dias;4 estrelas;R$ 4234
cliente 22;CWB;GIG;4 dias;4 estrelas;R$ 4234
cliente 23;NAT;MCZ;3 dias;1 estrelas;R$ 8154
cliente 23;MCZ;CGB;4 dias;1 estrelas;R$ 8154
cliente 24;CWB;GIG;1 dias;5 estrelas;R$ 9779
cliente 24;GIG;MCZ;4 dias;5 estrelas;R$ 9779
cliente 25;CGH;BSB;3 dias;3 estrelas;R$ 6939
cliente 25;BSB;IGU;5 dias;3 estrelas;R$ 6939
cliente 25;IGU;CWB;3 dias;3 estrelas;R$ 6939
cliente 25;CWB;GRU;5 dias;3 estrelas;R$ 6939
cliente 26;JPA;AJU;4 dias;1 estrelas;R$ 1898
cliente 26;AJU;IGU;1 dias;1 estrelas;R$ 1898
cliente 27;CGB;NAT;5 dias;2 estrelas;R$ 1950
cliente 27;NAT;GIG;5 dias;2 estrelas;R$ 1950
cliente 27;GIG;MAO;2 dias;2 estrelas;R$ 1950
cliente 28;BEL;CWB;5 dias;4 estrelas;R$ 6979
cliente 28;CWB;MCZ;5 dias;4 estrelas;R$ 6979
cliente 28;MCZ;CGB;2 dias;4 estrelas;R$ 6979
cliente 29;BEL;BSB;5 dias;5 estrelas;R$ 1026
cliente 29;BSB;GIG;3 dias;5 estrelas;R$ 1026
cliente 29;GIG;FOR;3 dias;5 estrelas;R$ 1026
cliente 29;FOR;CNF;5 dias;5 estrelas;R$ 1026
cliente 30;BEL;POA;3 dias;3 estrelas;R$ 3409
cliente 31;MAO;MCZ;1 dias;3 estrelas;R$ 7032
cliente 31;MCZ;MAO;4 dias;3 estrelas;R$ 7032
cliente 31;MAO;AJU;2 dias;3 estrelas;R$ 7032
cliente 31;AJU;MAO;2 dias;3 estrelas;R$ 7032
cliente 32;BSB;CGH;2 dias;3 estrelas;R$ 4252
cliente 32;CGH;JPA;5 dias;3 estrelas;R$ 4252
cliente 32;JPA;POA;2 dias;3 estrelas;R$ 4252
cliente 33;MAO;POA;5 dias;3 estrelas;R$ 8836
cliente 34;NAT;CGH;2 dias;1 estrelas;R$ 1826
cliente 34;CGH;FLN;2 dias;1 estrelas;R$ 1826
cliente 35;BEL;IGU;3 dias;1 estrelas;R$ 1758
cliente 35;IGU;FLN;5 dias;1 estrelas;R$ 1758
cliente 35;FLN;BEL;5 dias;1 estrelas;R$ 1758
cliente 36;VCP;CGB;3 dias;2 estrelas;R$ 5699
cliente 36;CGB;BSB;2 dias;2 estrelas;R$ 5699
cliente 36;BSB;CGB;3 dias;2 estrelas;R$ 5699
cliente 37;GIG;GRU;1 dias;3 estrelas;R$ 9332
cliente 37;GRU;REC;1 dias;3 estrelas;R$ 9332
cliente 38;AJU;JPA;3 dias;1 estrelas;R$ 4868
cliente 38;JPA;GRU;1 dias;1 estrelas;R$ 4868
cliente 38;GRU;BEL;4 dias;1 estrelas;R$ 4868
cliente 39;FOR;FLN;3 dias;1 estrelas;R$ 4136
cliente 39;FLN;BEL;1 dias;1 estrelas;R$ 4136
cliente 40;IGU;GIG;4 dias;3 estrelas;R$ 1093
cliente 40;GIG;NAT;1 dias;3 estrelas;R$ 1093
cliente 40;NAT;CGB;2 dias;3 estrelas;R$ 1093
cliente 40;CGB;FOR;4 dias;3 estrelas;R$ 1093
cliente 41;AJU;POA;5 dias;3 estrelas;R$ 6496
cliente 42;IGU;GIG;5 dias;3 estrelas;R$ 7577
cliente 42;GIG;JPA;2 dias;3 estrelas;R$ 7577
cliente 42;JPA;CWB;3 dias;3 estrelas;R$ 7577
cliente 42;CWB;FOR;5 dias;3 estrelas;R$ 7577
cliente 43;AJU;CWB;3 dias;4 estrelas;R$ 4132
cliente 43;CWB;VCP;4 dias;4 estrelas;R$ 4132
cliente 43;VCP;NAT;3 dias;4 estrelas;R$ 4132
cliente 44;MCZ;BSB;5 dias;2 estrelas;R$ 9636
cliente 44;BSB;MCZ;5 dias;2 estrelas;R$ 9636
cliente 44;MCZ;REC;5 dias;2 estrelas;R$ 9636
cliente 45;NAT;BSB;4 dias;1 estrelas;R$ 1544
cliente 46;FLN;VCP;5 dias;3 estrelas;R$ 6127
cliente 47;FOR;GIG;3 dias;2 estrelas;R$ 9023
cliente 47;GIG;FOR;4 dias;2 estrelas;R$ 9023
cliente 47;FOR;CGH;4 dias;2 estrelas;R$ 9023
cliente 47;CGH;FOR;1 dias;2 estrelas;R$ 9023
cliente 48;CNF;MCZ;1 dias;5 estrelas;R$ 3373
cliente 48;MCZ;CGB;2 dias;5 estrelas;R$ 3373
cliente 48;CGB;REC;1 dias;5 estrelas;R$ 3373
cliente 48;REC;CGB;1 dias;5 estrelas;R$ 3373
cliente 49;BEL;CGB;1 dias;2 estrelas;R$ 4694
cliente 49;CGB;BSB;1 dias;2 estrelas;R$ 4694
cliente 49;BSB;FLN;3 dias;2 estrelas;R$ 4694
cliente 50;AJU;VCP;5 dias;5 estrelas;R$ 6105
cliente 50;VCP;BEL;5 dias;5 estrelas;R$ 6105
cliente 50;BEL;GIG;5 dias;5 estrelas;R$ 6105
cliente 51;CGB;VCP;5 dias;3 estrelas;R$ 8449
cliente 51;VCP;CWB;5 dias;3 estrelas;R$ 8449
cliente 51;CWB;CNF;2 dias;3 estrelas;R$ 8449
cliente 52;CNF;BEL;2 dias;2 estrelas;R$ 2128
cliente 53;POA;JPA;3 dias;5 estrelas;R$ 6038
cliente 53;JPA;POA;2 dias;5 estrelas;R$ 6038
cliente 53;POA;FLN;4 dias;5 estrelas;R$ 6038
cliente 53;FLN;CNF;5 dias;5 estrelas;R$ 6038
cliente 54;AJU;POA;2 dias;5 estrelas;R$ 9263
cliente 54;POA;BEL;3 dias;5 estrelas;R$ 9263
cliente 54;BEL;SDU;2 dias;5 estrelas;R$ 9263
cliente 54;SDU;CNF;2 dias;5 estrelas;R$ 9263
cliente 55;JPA;FLN;4 dias;4 estrelas;R$ 5114
cliente 55;FLN;BSB;3 dias;4 estrelas;R$ 5114
cliente 55;BSB;CWB;1 dias;4 estrelas;R$ 5114
cliente 55;CWB;BEL;3 dias;4 estrelas;R$ 5114
cliente 56;GIG;JPA;2 dias;2 estrelas;R$ 6663
cliente 56;JPA;CGH;3 dias;2 estrelas;R$ 6663
cliente 57;CWB;BEL;3 dias;5 estrelas;R$ 4504
cliente 58;BSB;GRU;1 dias;2 estrelas;R$ 3565
cliente 59;REC;GIG;5 dias;1 estrelas;R$ 4422
cliente 59;GIG;JPA;2 dias;1 estrelas;R$ 4422
cliente 60;FLN;MAO;3 dias;1 estrelas;R$ 1811
cliente 60;MAO;VCP;1 dias;1 estrelas;R$ 1811
cliente 60;VCP;CGH;4 dias;1 estrelas;R$ 1811
cliente 60;CGH;MCZ;1 dias;1 estrelas;R$ 1811
cliente 61;IGU;REC;1 dias;5 estrelas;R$ 4380
cliente 61;REC;AJU;4 dias;5 estrelas;R$ 4380
cliente 61;AJU;VCP;5 dias;5 estrelas;R$ 4380
cliente 61;VCP;BEL;1 dias;5 estrelas;R$ 4380
cliente 62;CNF;BSB;5 dias;5 estrelas;R$ 8788
cliente 63;REC;JPA;5 dias;3 estrelas;R$ 6319
cliente 63;JPA;MCZ;5 dias;3 estrelas;R$ 6319
cliente 64;MAO;REC;5 dias;1 estrelas;R$ 3098
cliente 64;REC;NAT;1 dias;1 estrelas;R$ 3098
cliente 65;FLN;CGB;2 dias;2 estrelas;R$ 2934
cliente 65;CGB;AJU;1 dias;2 estrelas;R$ 2934
cliente 65;AJU;JPA;5 dias;2 estrelas;R$ 2934
cliente 66;CGB;JPA;1 dias;4 estrelas;R$ 3826
cliente 67;CNF;CWB;3 dias;5 estrelas;R$ 6663
cliente 67;CWB;SDU;4 dias;5 estrelas;R$ 6663
cliente 67;SDU;CGH;1 dias;5 estrelas;R$ 6663
cliente 67;CGH;REC;5 dias;5 estrelas;R$ 6663
cliente 68;POA;BEL;3 dias;5 estrelas;R$ 2873
cliente 69;GIG;BSB;3 dias;5 estrelas;R$ 9677
cliente 69;BSB;CGB;1 dias;5 estrelas;R$ 9677
cliente 69;CGB;AJU;3 dias;5 estrelas;R$ 9677
cliente 70;IGU;POA;1 dias;5 estrelas;R$ 6760
cliente 70;POA;VCP;4 dias;5 estrelas;R$ 6760
cliente 70;VCP;AJU;1 dias;5 estrelas;R$ 6760
cliente 71;BEL;CWB;2 dias;5 estrelas;R$ 7018
cliente 71;CWB;GIG;4 dias;5 estrelas;R$ 7018
cliente 71;GIG;GRU;4 dias;5 estrelas;R$ 7018
cliente 72;BSB;JPA;3 dias;2 estrelas;R$ 8489
cliente 73;FLN;POA;1 dias;5 estrelas;R$ 6752
cliente 74;CGH;BSB;3 dias;3 estrelas;R$ 3486
cliente 74;BSB;GRU;5 dias;3 estrelas;R$ 3486
cliente 74;GRU;REC;4 dias;3 estrelas;R$ 3486
cliente 74;REC;FOR;5 dias;3 estrelas;R$ 3486
cliente 75;GIG;AJU;1 dias;5 estrelas;R$ 6396
cliente 76;GRU;MCZ;2 dias;2 estrelas;R$ 3762
cliente 76;MCZ;GIG;4 dias;2 estrelas;R$ 3762
cliente 77;CNF;VCP;3 dias;3 estrelas;R$ 1124
cliente 77;VCP;FLN;1 dias;3 estrelas;R$ 1124
cliente 78;BEL;POA;5 dias;1 estrelas;R$ 9660
cliente 79;POA;CNF;3 dias;5 estrelas;R$ 8631
cliente 80;CGH;AJU;3 dias;2 estrelas;R$ 8205
cliente 81;CGH;VCP;3 dias;3 estrelas;R$ 3311
cliente 81;VCP;AJU;2 dias;3 estrelas;R$ 3311
cliente 81;AJU;POA;4 dias;3 estrelas;R$ 3311
cliente 81;POA;GRU;1 dias;3 estrelas;R$ 3311
cliente 82;SDU;GIG;5 dias;4 estrelas;R$ 8814
cliente 82;GIG;CGH;3 dias;4 estrelas;R$ 8814
cliente 82;CGH;SDU;4 dias;4 estrelas;R$ 8814
cliente 82;SDU;GRU;1 dias;4 estrelas;R$ 8814
cliente 83;GRU;FOR;5 dias;4 estrelas;R$ 7232
cliente 83;FOR;BSB;2 dias;4 estrelas;R$ 7232
cliente 83;BSB;CGH;3 dias;4 estrelas;R$ 7232
cliente 83;CGH;CGB;3 dias;4 estrelas;R$ 7232
cliente 84;MAO;FOR;1 dias;5 estrelas;R$ 3135
cliente 84;FOR;MCZ;5 dias;5 estrelas;R$ 3135
cliente 84;MCZ;BEL;3 dias;5 estrelas;R$ 3135
cliente 85;CGH;POA;4 dias;1 estrelas;R$ 6888
cliente 85;POA;GIG;4 dias;1 estrelas;R$ 6888
cliente 86;BSB;CWB;1 dias;4 estrelas;R$ 1716
cliente 87;CWB;REC;2 dias;3 estrelas;R$ 9524
cliente 87;REC;MAO;2 dias;3 estrelas;R$ 9524
cliente 87;MAO;MCZ;5 dias;3 estrelas;R$ 9524
cliente 88;IGU;GIG;4 dias;3 estrelas;R$ 1336
cliente 88;GIG;FLN;2 dias;3 estrelas;R$ 1336
cliente 88;FLN;BEL;2 dias;3 estrelas;R$ 1336
cliente 89;IGU;BEL;5 dias;2 estrelas;R$ 4608
cliente 90;BEL;FOR;4 dias;3 estrelas;R$ 8419
cliente 90;FOR;MCZ;2 dias;3 estrelas;R$ 8419
cliente 90;MCZ;REC;3 dias;3 estrelas;R$ 8419
cliente 91;POA;SDU;1 dias;4 estrelas;R$ 3990
cliente 91;SDU;CGH;4 dias;4 estrelas;R$ 3990
cliente 92;CGH;BSB;2 dias;3 estrelas;R$ 6295
cliente 92;BSB;GRU;5 dias;3 estrelas;R$ 6295
cliente 92;GRU;CWB;1 dias;3 estrelas;R$ 6295
cliente 93;POA;FOR;1 dias;1 estrelas;R$ 3738
cliente 93;FOR;CGH;4 dias;1 estrelas;R$ 3738
cliente 94;GRU;FLN;4 dias;4 estrelas;R$ 2247
cliente 94;FLN;CWB;5 dias;4 estrelas;R$ 2247
cliente 95;CGH;GRU;1 dias;1 estrelas;R$ 1841
cliente 95;GRU;FOR;3 dias;1 estrelas;R$ 1841
cliente 95;FOR;CNF;5 dias;1 estrelas;R$ 1841
cliente 95;CNF;CGH;4 dias;1 estrelas;R$ 1841
cliente 96;MCZ;CGH;2 dias;3 estrelas;R$ 2450
cliente 96;CGH;BEL;3 dias;3 estrelas;R$ 2450
cliente 96;BEL;FOR;3 dias;3 estrelas;R$ 2450
cliente 96;FOR;CGH;4 dias;3 estrelas;R$ 2450
cliente 97;FLN;SDU;1 dias;4 estrelas;R$ 4832
cliente 97;SDU;CNF;1 dias;4 estrelas;R$ 4832
cliente 97;CNF;SDU;4 dias;4 estrelas;R$ 4832
cliente 98;BSB;SDU;4 dias;1 estrelas;R$ 8204
cliente 99;GRU;REC;3 dias;5 estrelas;R$ 2912
cliente 99;REC;MAO;5 dias;5 estrelas;R$ 2912
cliente 100;CNF;AJU;4 dias;3 estrelas;R$ 8240
cliente 101;VCP;BSB;2 dias;3 estrelas;R$ 1553
cliente 101;BSB;BEL;3 dias;3 estrelas;R$ 1553
cliente 101;BEL;GIG;4 dias;3 estrelas;R$ 1553
cliente 101;GIG;BEL;3 dias;3 estrelas;R$ 1553
cliente 102;REC;NAT;4 dias;1 estrelas;R$ 6627
cliente 102;NAT;GRU;3 dias;1 estrelas;R$ 6627
cliente 102;GRU;GIG;3 dias;1 estrelas;R$ 6627
cliente 102;GIG;NAT;4 dias;1 estrelas;R$ 6627
cliente 103;POA;IGU;2 dias;5 estrelas;R$ 3708
cliente 103;IGU;BSB;3 dias;5 estrelas;R$ 3708
cliente 103;BSB;NAT;2 dias;5 estrelas;R$ 3708
cliente 103;NAT;POA;2 dias;5 estrelas;R$ 3708
cliente 104;POA;CWB;3 dias;5 estrelas;R$ 7391
cliente 104;CWB;FLN;3 dias;5 estrelas;R$ 7391
cliente 104;FLN;SDU;3 dias;5 estrelas;R$ 7391
cliente 104;SDU;MCZ;3 dias;5 estrelas;R$ 7391
cliente 105;FLN;CNF;2 dias;2 estrelas;R$ 7130
cliente 105;CNF;AJU;1 dias;2 estrelas;R$ 7130
cliente 105;AJU;IGU;1 dias;2 estrelas;R$ 7130
cliente 106;CNF;VCP;1 dias;3 estrelas;R$ 8353
cliente 106;VCP;CGH;2 dias;3 estrelas;R$ 8353
cliente 106;CGH;GRU;5 dias;3 estrelas;R$ 8353
cliente 106;GRU;BSB;5 dias;3 estrelas;R$ 8353
cliente 107;CGB;GRU;2 dias;3 estrelas;R$ 3486
cliente 107;GRU;IGU;2 dias;3 estrelas;R$ 3486
cliente 108;CGH;GRU;5 dias;4 estrelas;R$ 4857
cliente 108;GRU;MCZ;3 dias;4 estrelas;R$ 4857
cliente 108;MCZ;CNF;2 dias;4 estrelas;R$ 4857
cliente 109;GIG;FOR;3 dias;3 estrelas;R$ 8920
cliente 109;FOR;REC;2 dias;3 estrelas;R$ 8920
cliente 109;REC;CWB;4 dias;3 estrelas;R$ 8920
cliente 110;MCZ;AJU;4 dias;2 estrelas;R$ 1522
cliente 110;AJU;FLN;4 dias;2 estrelas;R$ 1522
cliente 110;FLN;BEL;3 dias;2 estrelas;R$ 1522
cliente 110;BEL;JPA;3 dias;2 estrelas;R$ 1522
cliente 111;CGH;FLN;3 dias;4 estrelas;R$ 9493
cliente 111;FLN;BEL;3 dias;4 estrelas;R$ 9493
cliente 111;BEL;CNF;3 dias;4 estrelas;R$ 9493
cliente 112;CWB;GRU;2 dias;3 estrelas;R$ 6645
cliente 113;BEL;MCZ;3 dias;1 estrelas;R$ 6121
cliente 113;MCZ;CNF;5 dias;1 estrelas;R$ 6121
cliente 113;CNF;BSB;4 dias;1 estrelas;R$ 6121
cliente 114;MCZ;GIG;1 dias;5 estrelas;R$ 4138
cliente 114;GIG;FOR;4 dias;5 estrelas;R$ 4138
cliente 114;FOR;IGU;2 dias;5 estrelas;R$ 4138
cliente 115;SDU;MAO;1 dias;1 estrelas;R$ 4629
cliente 115;MAO;GRU;3 dias;1 estrelas;R$ 4629
cliente 115;GRU;GIG;3 dias;1 estrelas;R$ 4629
cliente 115;GIG;CWB;3 dias;1 estrelas;R$ 4629
cliente 116;AJU;VCP;3 dias;2 estrelas;R$ 7749
cliente 116;VCP;JPA;2 dias;2 estrelas;R$ 7749
cliente 116;JPA;FOR;4 dias;2 estrelas;R$ 7749
cliente 117;CWB;SDU;3 dias;2 estrelas;R$ 6130
cliente 118;POA;REC;2 dias;4 estrelas;R$ 7281
cliente 118;REC;SDU;5 dias;4 estrelas;R$ 7281
cliente 119;CGH;CGB;5 dias;4 estrelas;R$ 7697
cliente 119;CGB;FOR;5 dias;4 estrelas;R$ 7697
cliente 120;BEL;SDU;3 dias;5 estrelas;R$ 9726
cliente 121;FOR;NAT;5 dias;3 estrelas;R$ 8713
cliente 121;NAT;IGU;5 dias;3 estrelas;R$ 8713
cliente 121;IGU;CWB;4 dias;3 estrelas;R$ 8713
cliente 122;MAO;VCP;4 dias;1 estrelas;R$ 3020
cliente 122;VCP;CWB;3 dias;1 estrelas;R$ 3020
cliente 122;CWB;REC;2 dias;1 estrelas;R$ 3020
cliente 123;CNF;FLN;2 dias;2 estrelas;R$ 4793
cliente 123;FLN;VCP;3 dias;2 estrelas;R$ 4793
cliente 124;FOR;FLN;1 dias;2 estrelas;R$ 5347
cliente 125;CGH;CWB;3 dias;2 estrelas;R$ 8588
cliente 125;CWB;CGH;5 dias;2 estrelas;R$ 8588
cliente 125;CGH;CWB;2 dias;2 estrelas;R$ 8588
cliente 126;NAT;AJU;3 dias;5 estrelas;R$ 5139
cliente 127;FOR;IGU;4 dias;4 estrelas;R$ 9530
cliente 127;IGU;POA;1 dias;4 estrelas;R$ 9530
cliente 128;CNF;JPA;5 dias;1 estrelas;R$ 8684
cliente 128;JPA;REC;5 dias;1 estrelas;R$ 8684
cliente 128;REC;FOR;3 dias;1 estrelas;R$ 8684
cliente 129;REC;BEL;2 dias;5 estrelas;R$ 8236
cliente 129;BEL;SDU;2 dias;5 estrelas;R$ 8236
cliente 129;SDU;CNF;1 dias;5 estrelas;R$ 8236
cliente 129;CNF;CWB;5 dias;5 estrelas;R$ 8236
cliente 130;JPA;CGB;3 dias;3 estrelas;R$ 8409
cliente 130;CGB;GIG;5 dias;3 estrelas;R$ 8409
cliente 131;GRU;IGU;4 dias;3 estrelas;R$ 1978
cliente 131;IGU;CGB;4 dias;3 estrelas;R$ 1978
cliente 131;CGB;AJU;2 dias;3 estrelas;R$ 1978
cliente 131;AJU;REC;3 dias;3 estrelas;R$ 1978
cliente 132;BSB;BEL;2 dias;1 estrelas;R$ 8900
cliente 133;MCZ;FLN;2 dias;5 estrelas;R$ 8369
cliente 133;FLN;POA;5 dias;5 estrelas;R$ 8369
cliente 133;POA;CNF;1 dias;5 estrelas;R$ 8369
cliente 133;CNF;JPA;1 dias;5 estrelas;R$ 8369
cliente 134;IGU;MAO;1 dias;1 estrelas;R$ 9836
cliente 135;CGB;REC;2 dias;5 estrelas;R$ 1273
cliente 135;REC;AJU;4 dias;5 estrelas;R$ 1273
cliente 135;AJU;IGU;5 dias;5 estrelas;R$ 1273
cliente 135;IGU;BEL;4 dias;5 estrelas;R$ 1273
cliente 136;NAT;BSB;1 dias;2 estrelas;R$ 7103
cliente 136;BSB;FOR;3 dias;2 estrelas;R$ 7103
cliente 136;FOR;SDU;3 dias;2 estrelas;R$ 7103
cliente 137;FOR;REC;4 dias;5 estrelas;R$ 5905
cliente 137;REC;FOR;2 dias;5 estrelas;R$ 5905
cliente 138;POA;FLN;5 dias;3 estrelas;R$ 5085
cliente 138;FLN;GRU;2 dias;3 estrelas;R$ 5085
cliente 138;GRU;FLN;4 dias;3 estrelas;R$ 5085
cliente 138;FLN;BEL;4 dias;3 estrelas;R$ 5085
cliente 139;NAT;IGU;3 dias;2 estrelas;R$ 8408
cliente 139;IGU;NAT;2 dias;2 estrelas;R$ 8408
cliente 140;GIG;CNF;1 dias;3 estrelas;R$ 4583
cliente 140;CNF;BSB;4 dias;3 estrelas;R$ 4583
cliente 141;BSB;POA;1 dias;4 estrelas;R$ 8711
cliente 141;POA;GIG;5 dias;4 estrelas;R$ 8711
cliente 141;GIG;AJU;3 dias;4 estrelas;R$ 8711
cliente 142;CNF;GRU;2 dias;5 estrelas;R$ 7348
cliente 142;GRU;BEL;4 dias;5 estrelas;R$ 7348
cliente 142;BEL;NAT;5 dias;5 estrelas;R$ 7348
cliente 143;MCZ;BEL;1 dias;1 estrelas;R$ 3924
cliente 143;BEL;SDU;3 dias;1 estrelas;R$ 3924
cliente 144;CWB;IGU;2 dias;1 estrelas;R$ 4097
cliente 145;REC;CGH;3 dias;5 estrelas;R$ 9199
cliente 146;JPA;GRU;5 dias;5 estrelas;R$ 7535
cliente 146;GRU;MAO;2 dias;5 estrelas;R$ 7535
cliente 147;VCP;MAO;3 dias;1 estrelas;R$ 9143
cliente 147;MAO;JPA;1 dias;1 estrelas;R$ 9143
cliente 147;JPA;FLN;5 dias;1 estrelas;R$ 9143
cliente 147;FLN;BSB;5 dias;1 estrelas;R$ 9143
cliente 148;CGH;SDU;2 dias;4 estrelas;R$ 6643
cliente 148;SDU;NAT;4 dias;4 estrelas;R$ 6643
cliente 149;NAT;BEL;2 dias;2 estrelas;R$ 4064
cliente 149;BEL;JPA;5 dias;2 estrelas;R$ 4064
cliente 150;FLN;REC;5 dias;2 estrelas;R$ 7974
cliente 150;REC;BEL;3 dias;2 estrelas;R$ 7974
cliente 150;BEL;VCP;3 dias;2 estrelas;R$ 7974
cliente 150;VCP;MCZ;3 dias;2 estrelas;R$ 7974
cliente 151;JPA;AJU;2 dias;2 estrelas;R$ 7550
cliente 151;AJU;JPA;1 dias;2 estrelas;R$ 7550
cliente 151;JPA;MCZ;1 dias;2 estrelas;R$ 7550
cliente 151;MCZ;REC;5 dias;2 estrelas;R$ 7550
cliente 152;MCZ;MAO;1 dias;1 estrelas;R$ 7599
cliente 152;MAO;AJU;1 dias;1 estrelas;R$ 7599
cliente 152;AJU;BSB;2 dias;1 estrelas;R$ 7599
cliente 152;BSB;MCZ;3 dias;1 estrelas;R$ 7599
cliente 153;REC;CGB;5 dias;3 estrelas;R$ 6399
cliente 153;CGB;IGU;1 dias;3 estrelas;R$ 6399
cliente 153;IGU;SDU;1 dias;3 estrelas;R$ 6399
cliente 153;SDU;VCP;5 dias;3 estrelas;R$ 6399
cliente 154;REC;FOR;5 dias;2 estrelas;R$ 9620
cliente 154;FOR;CGH;2 dias;2 estrelas;R$ 9620
cliente 155;GIG;REC;5 dias;5 estrelas;R$ 5446
cliente 155;REC;BSB;5 dias;5 estrelas;R$ 5446
cliente 155;BSB;CGB;3 dias;5 estrelas;R$ 5446
cliente 155;CGB;CWB;3 dias;5 estrelas;R$ 5446
cliente 156;CNF;FLN;1 dias;2 estrelas;R$ 2872
cliente 157;BSB;AJU;2 dias;1 estrelas;R$ 6486
cliente 158;CNF;FLN;2 dias;1 estrelas;R$ 4215
cliente 158;FLN;MCZ;5 dias;1 estrelas;R$ 4215
cliente 158;MCZ;CGB;5 dias;1 estrelas;R$ 4215
cliente 159;CWB;GRU;3 dias;3 estrelas;R$ 6637
cliente 160;CNF;GRU;2 dias;4 estrelas;R$ 2021
cliente 160;GRU;BEL;3 dias;4 estrelas;R$ 2021
cliente 160;BEL;CGB;1 dias;4 estrelas;R$ 2021
cliente 161;MAO;IGU;5 dias;3 estrelas;R$ 7225
cliente 162;GIG;JPA;1 dias;3 estrelas;R$ 8003
cliente 162;JPA;REC;5 dias;3 estrelas;R$ 8003
cliente 162;REC;FOR;1 dias;3 estrelas;R$ 8003
cliente 162;FOR;GIG;2 dias;3 estrelas;R$ 8003
cliente 163;NAT;BEL;4 dias;5 estrelas;R$ 6053
cliente 163;BEL;FLN;2 dias;5 estrelas;R$ 6053
cliente 163;FLN;FOR;2 dias;5 estrelas;R$ 6053
cliente 163;FOR;IGU;1 dias;5 estrelas;R$ 6053
cliente 164;CWB;FLN;1 dias;3 estrelas;R$ 8037
cliente 164;FLN;AJU;4 dias;3 estrelas;R$ 8037
cliente 164;AJU;SDU;5 dias;3 estrelas;R$ 8037
cliente 164;SDU;CGH;3 dias;3 estrelas;R$ 8037
cliente 165;FOR;AJU;1 dias;2 estrelas;R$ 8491
cliente 165;AJU;POA;2 dias;2 estrelas;R$ 8491
cliente 165;POA;MCZ;1 dias;2 estrelas;R$ 8491
cliente 165;MCZ;CNF;2 dias;2 estrelas;R$ 8491
